# solver	iter	edge-congestion
akecmp	0	
		(s4,s8) : 0.586733220269
		(s4,s9) : 0.754371283203
		(s4,s12) : 0.963918861871
		(h5,s5) : 0.0125728547201
		(s5,h5) : 0.0125728547201
		(s5,s1) : 1.29919498774
		(s5,s2) : 0.628642736003
		(s5,s4) : 0.586733220269
		(s5,s9) : 0.628642736003
		(s5,s25) : 0.544823704536
		(h6,s6) : 0.0125728547201
		(s6,h6) : 0.0125728547201
		(s6,s0) : 1.25728547201
		(s6,s1) : 0.670552251736
		(s6,s4) : 0.586733220269
		(s6,s7) : 1.0058283776
		(s6,s14) : 0.71246176747
		(s6,s15) : 1.13155692481
		(s6,s18) : 0.963918861871
		(s6,s20) : 1.04773789334
		(s6,s23) : 0.963918861871
		(h7,s7) : 0.0125728547201
		(s7,h7) : 0.0125728547201
		(s7,s1) : 1.42492353494
		(s7,s2) : 1.08964740907
		(s7,s6) : 1.04773789334
		(s7,s10) : 0.963918861871
		(s7,s11) : 1.21537595627
		(s7,s13) : 1.21537595627
		(s7,s14) : 1.29919498774
		(s7,s17) : 0.754371283203
		(s7,s18) : 0.796280798937
		(s7,s25) : 1.13155692481
		(h8,s8) : 0.0125728547201
		(s8,h8) : 0.0125728547201
		(s8,s0) : 1.04773789334
		(s8,s1) : 1.80210917654
		(s8,s4) : 0.83819031467
		(s8,s15) : 0.880099830404
		(s8,s19) : 0.544823704536
		(s8,s22) : 1.29919498774
		(s8,s24) : 1.04773789334
		(s8,s27) : 1.25728547201
		(h9,s9) : 0.0125728547201
		(s9,h9) : 0.0125728547201
		(s9,s2) : 0.83819031467
		(s9,s4) : 0.796280798937
		(s9,s5) : 0.71246176747
		(s9,s11) : 0.461004673069
		(s9,s13) : 0.670552251736
		(s9,s19) : 1.08964740907
		(h10,s10) : 0.0125728547201
		(s10,h10) : 0.0125728547201
		(s10,s0) : 1.04773789334
		(s10,s3) : 0.628642736003
		(s10,s7) : 0.963918861871
		(h11,s11) : 0.0125728547201
		(s11,h11) : 0.0125728547201
		(s11,s0) : 1.21537595627
		(s11,s7) : 1.08964740907
		(s11,s9) : 0.502914188802
		(s11,s16) : 0.628642736003
		(h12,s12) : 0.0125728547201
		(s12,h12) : 0.0125728547201
		(s12,s1) : 1.0058283776
		(s12,s2) : 1.25728547201
		(s12,s4) : 0.628642736003
		(s12,s15) : 0.83819031467
		(s12,s23) : 0.335276125868
		(h13,s13) : 0.0125728547201
		(s13,h13) : 0.0125728547201
		(s13,s0) : 1.25728547201
		(s13,s7) : 1.04773789334
		(s13,s9) : 0.796280798937
		(s13,s27) : 0.544823704536
		(h14,s14) : 0.0125728547201
		(s14,h14) : 0.0125728547201
		(s14,s1) : 1.42492353494
		(s14,s6) : 0.586733220269
		(s14,s7) : 1.08964740907
		(s14,s18) : 0.586733220269
		(s14,s27) : 1.04773789334
		(s14,s28) : 1.04773789334
		(s14,s29) : 0.796280798937
		(h15,s15) : 0.0125728547201
		(s15,h15) : 0.0125728547201
		(s15,s6) : 0.83819031467
		(s15,s8) : 1.21537595627
		(s15,s12) : 0.796280798937
		(h16,s16) : 0.0125728547201
		(s16,h16) : 0.0125728547201
		(s16,s1) : 1.46683305067
		(s16,s3) : 0.796280798937
		(s16,s11) : 0.461004673069
		(h17,s17) : 0.0125728547201
		(s17,h17) : 0.0125728547201
		(s17,s1) : 1.13155692481
		(s17,s2) : 0.586733220269
		(s17,s7) : 0.754371283203
		(h18,s18) : 0.0125728547201
		(s18,h18) : 0.0125728547201
		(s18,s6) : 0.754371283203
		(s18,s7) : 1.21537595627
		(s18,s14) : 0.461004673069
		(s18,s26) : 0.586733220269
		(h19,s19) : 0.0125728547201
		(s19,h19) : 0.0125728547201
		(s19,s0) : 1.08964740907
		(s19,s8) : 0.796280798937
		(s19,s9) : 1.0058283776
		(s19,s20) : 0.419095157335
		(s19,s22) : 0.71246176747
		(s19,s24) : 0.922009346137
		(h20,s20) : 0.0125728547201
		(s20,h20) : 0.0125728547201
		(s20,s0) : 0.83819031467
		(s20,s6) : 0.963918861871
		(s20,s19) : 0.628642736003
		(h21,s21) : 0.0125728547201
		(s21,h21) : 0.0125728547201
		(s21,s0) : 1.34110450347
		(s21,s1) : 1.29919498774
		(s21,s2) : 0.963918861871
		(s21,s22) : 0.670552251736
		(h22,s22) : 0.0125728547201
		(s22,h22) : 0.0125728547201
		(s22,s8) : 1.0058283776
		(s22,s19) : 0.628642736003
		(s22,s21) : 1.04773789334
		(h23,s23) : 0.0125728547201
		(s23,h23) : 0.0125728547201
		(s23,s1) : 1.21537595627
		(s23,s6) : 1.0058283776
		(s23,s12) : 0.377185641602
		(h24,s24) : 0.0125728547201
		(s24,h24) : 0.0125728547201
		(s24,s3) : 1.17346644054
		(s24,s8) : 0.963918861871
		(s24,s19) : 0.71246176747
		(s24,s26) : 0.796280798937
		(s24,s28) : 0.544823704536
		(h25,s25) : 0.0125728547201
		(s25,h25) : 0.0125728547201
		(s25,s2) : 0.586733220269
		(s25,s5) : 0.461004673069
		(s25,s7) : 1.42492353494
		(h26,s26) : 0.0125728547201
		(s26,h26) : 0.0125728547201
		(s26,s1) : 1.76019966081
		(s26,s18) : 0.670552251736
		(s26,s24) : 0.670552251736
		(h27,s27) : 0.0125728547201
		(s27,h27) : 0.0125728547201
		(s27,s8) : 1.04773789334
		(s27,s13) : 0.754371283203
		(s27,s14) : 1.04773789334
		(h28,s28) : 0.0125728547201
		(s28,h28) : 0.0125728547201
		(s28,s0) : 1.29919498774
		(s28,s14) : 1.0058283776
		(s28,s24) : 0.586733220269
		(h29,s29) : 0.0125728547201
		(s29,h29) : 0.0125728547201
		(s29,s0) : 1.0058283776
		(s29,s3) : 0.922009346137
		(s29,s14) : 0.628642736003
ecmp	0	
		(h0,s0) : 0.0125728547201
		(s0,h0) : 0.0125728547201
		(s0,s3) : 0.449435306469
		(s0,s4) : 0.489376020113
		(s0,s6) : 0.615577262685
		(s0,s8) : 0.587368694169
		(s0,s10) : 0.531767254418
		(s0,s11) : 0.63034751926
		(s0,s13) : 0.624257220175
		(s0,s19) : 0.518928684504
		(s0,s20) : 0.481959430935
		(s0,s21) : 0.609041638603
		(s0,s28) : 0.653345370229
		(s0,s29) : 0.540178561166
		(h1,s1) : 0.0125728547201
		(s1,h1) : 0.0125728547201
		(s1,s3) : 0.513811988702
		(s1,s4) : 0.29916600125
		(s1,s5) : 0.648642658844
		(s1,s6) : 0.476069206273
		(s1,s7) : 0.64570073471
		(s1,s8) : 0.921578157486
		(s1,s12) : 0.542733390019
		(s1,s14) : 0.767876607444
		(s1,s16) : 0.760151906063
		(s1,s17) : 0.621072090723
		(s1,s21) : 0.642313064495
		(s1,s23) : 0.667661940306
		(s1,s26) : 0.863288646295
		(h2,s2) : 0.0125728547201
		(s2,h2) : 0.0125728547201
		(s2,s3) : 0.620437880071
		(s2,s5) : 0.207276619687
		(s2,s7) : 0.498724957652
		(s2,s9) : 0.460333707915
		(s2,s12) : 0.478320735296
		(s2,s17) : 0.284810631413
		(s2,s21) : 0.463423432066
		(s2,s25) : 0.402579092021
		(h3,s3) : 0.0125728547201
		(s3,h3) : 0.0125728547201
		(s3,s0) : 0.449435306469
		(s3,s1) : 0.513811988702
		(s3,s2) : 0.620437880071
		(s3,s4) : 0.306361762646
		(s3,s10) : 0.324162190251
		(s3,s16) : 0.362011506595
		(s3,s24) : 0.608514443103
		(s3,s29) : 0.413004858251
		(h4,s4) : 0.0125728547201
		(s4,h4) : 0.0125728547201
		(s4,s0) : 0.489376020113
		(s4,s1) : 0.29916600125
		(s4,s3) : 0.306361762646
		(s4,s5) : 0.366269554683
		(s4,s6) : 0.381481406666
		(s4,s8) : 0.390241008935
		(s4,s9) : 0.401194151128
		(s4,s12) : 0.394501703829
		(h5,s5) : 0.0125728547201
		(s5,h5) : 0.0125728547201
		(s5,s1) : 0.648642658844
		(s5,s2) : 0.207276619687
		(s5,s4) : 0.366269554683
		(s5,s9) : 0.304308503405
		(s5,s25) : 0.24980548787
		(h6,s6) : 0.0125728547201
		(s6,h6) : 0.0125728547201
		(s6,s0) : 0.615577262685
		(s6,s1) : 0.476069206273
		(s6,s4) : 0.381481406666
		(s6,s7) : 0.570373557089
		(s6,s14) : 0.37236580908
		(s6,s15) : 0.58810691224
		(s6,s18) : 0.471909511064
		(s6,s20) : 0.606016520565
		(s6,s23) : 0.46353369557
		(h7,s7) : 0.0125728547201
		(s7,h7) : 0.0125728547201
		(s7,s1) : 0.64570073471
		(s7,s2) : 0.498724957652
		(s7,s6) : 0.570373557089
		(s7,s10) : 0.502898548589
		(s7,s11) : 0.531526395133
		(s7,s13) : 0.590777779446
		(s7,s14) : 0.568152646791
		(s7,s17) : 0.382112308812
		(s7,s18) : 0.527808716416
		(s7,s25) : 0.658578104384
		(h8,s8) : 0.0125728547201
		(s8,h8) : 0.0125728547201
		(s8,s0) : 0.587368694169
		(s8,s1) : 0.921578157486
		(s8,s4) : 0.390241008935
		(s8,s15) : 0.537087754232
		(s8,s19) : 0.337125581099
		(s8,s22) : 0.570827905287
		(s8,s24) : 0.442852220354
		(s8,s27) : 0.616255687018
		(h9,s9) : 0.0125728547201
		(s9,h9) : 0.0125728547201
		(s9,s2) : 0.460333707915
		(s9,s4) : 0.401194151128
		(s9,s5) : 0.304308503405
		(s9,s11) : 0.340747072503
		(s9,s13) : 0.364282465575
		(s9,s19) : 0.57877626172
		(h10,s10) : 0.0125728547201
		(s10,h10) : 0.0125728547201
		(s10,s0) : 0.531767254418
		(s10,s3) : 0.324162190251
		(s10,s7) : 0.502898548589
		(h11,s11) : 0.0125728547201
		(s11,h11) : 0.0125728547201
		(s11,s0) : 0.63034751926
		(s11,s7) : 0.531526395133
		(s11,s9) : 0.340747072503
		(s11,s16) : 0.301314966567
		(h12,s12) : 0.0125728547201
		(s12,h12) : 0.0125728547201
		(s12,s1) : 0.542733390019
		(s12,s2) : 0.478320735296
		(s12,s4) : 0.394501703829
		(s12,s15) : 0.335766446557
		(s12,s23) : 0.175947708295
		(h13,s13) : 0.0125728547201
		(s13,h13) : 0.0125728547201
		(s13,s0) : 0.624257220175
		(s13,s7) : 0.590777779446
		(s13,s9) : 0.364282465575
		(s13,s27) : 0.351998641998
		(h14,s14) : 0.0125728547201
		(s14,h14) : 0.0125728547201
		(s14,s1) : 0.767876607444
		(s14,s6) : 0.37236580908
		(s14,s7) : 0.568152646791
		(s14,s18) : 0.28065268069
		(s14,s27) : 0.540694688207
		(s14,s28) : 0.531332937724
		(s14,s29) : 0.409804870596
		(h15,s15) : 0.0125728547201
		(s15,h15) : 0.0125728547201
		(s15,s6) : 0.58810691224
		(s15,s8) : 0.537087754232
		(s15,s12) : 0.335766446557
		(h16,s16) : 0.0125728547201
		(s16,h16) : 0.0125728547201
		(s16,s1) : 0.760151906063
		(s16,s3) : 0.362011506595
		(s16,s11) : 0.301314966567
		(h17,s17) : 0.0125728547201
		(s17,h17) : 0.0125728547201
		(s17,s1) : 0.621072090723
		(s17,s2) : 0.284810631413
		(s17,s7) : 0.382112308812
		(h18,s18) : 0.0125728547201
		(s18,h18) : 0.0125728547201
		(s18,s6) : 0.471909511064
		(s18,s7) : 0.527808716416
		(s18,s14) : 0.28065268069
		(s18,s26) : 0.357983068869
		(h19,s19) : 0.0125728547201
		(s19,h19) : 0.0125728547201
		(s19,s0) : 0.518928684504
		(s19,s8) : 0.337125581099
		(s19,s9) : 0.57877626172
		(s19,s20) : 0.314817644002
		(s19,s22) : 0.324678317292
		(s19,s24) : 0.397687795756
		(h20,s20) : 0.0125728547201
		(s20,h20) : 0.0125728547201
		(s20,s0) : 0.481959430935
		(s20,s6) : 0.606016520565
		(s20,s19) : 0.314817644002
		(h21,s21) : 0.0125728547201
		(s21,h21) : 0.0125728547201
		(s21,s0) : 0.609041638603
		(s21,s1) : 0.642313064495
		(s21,s2) : 0.463423432066
		(s21,s22) : 0.486527155249
		(h22,s22) : 0.0125728547201
		(s22,h22) : 0.0125728547201
		(s22,s8) : 0.570827905287
		(s22,s19) : 0.324678317292
		(s22,s21) : 0.486527155249
		(h23,s23) : 0.0125728547201
		(s23,h23) : 0.0125728547201
		(s23,s1) : 0.667661940306
		(s23,s6) : 0.46353369557
		(s23,s12) : 0.175947708295
		(h24,s24) : 0.0125728547201
		(s24,h24) : 0.0125728547201
		(s24,s3) : 0.608514443103
		(s24,s8) : 0.442852220354
		(s24,s19) : 0.397687795756
		(s24,s26) : 0.435244640109
		(s24,s28) : 0.306642985714
		(h25,s25) : 0.0125728547201
		(s25,h25) : 0.0125728547201
		(s25,s2) : 0.402579092021
		(s25,s5) : 0.24980548787
		(s25,s7) : 0.658578104384
		(h26,s26) : 0.0125728547201
		(s26,h26) : 0.0125728547201
		(s26,s1) : 0.863288646295
		(s26,s18) : 0.357983068869
		(s26,s24) : 0.435244640109
		(h27,s27) : 0.0125728547201
		(s27,h27) : 0.0125728547201
		(s27,s8) : 0.616255687018
		(s27,s13) : 0.351998641998
		(s27,s14) : 0.540694688207
		(h28,s28) : 0.0125728547201
		(s28,h28) : 0.0125728547201
		(s28,s0) : 0.653345370229
		(s28,s14) : 0.531332937724
		(s28,s24) : 0.306642985714
		(h29,s29) : 0.0125728547201
		(s29,h29) : 0.0125728547201
		(s29,s0) : 0.540178561166
		(s29,s3) : 0.413004858251
		(s29,s14) : 0.409804870596
ecmp	1	
		(h0,s0) : 0.0125728547201
		(s0,h0) : 0.0125728547201
		(s0,s3) : 0.449435306469
		(s0,s4) : 0.489376020113
		(s0,s6) : 0.615577262685
		(s0,s8) : 0.587368694169
		(s0,s10) : 0.531767254418
		(s0,s11) : 0.63034751926
		(s0,s13) : 0.624257220175
		(s0,s19) : 0.518928684504
		(s0,s20) : 0.481959430935
		(s0,s21) : 0.609041638603
		(s0,s28) : 0.653345370229
		(s0,s29) : 0.540178561166
		(h1,s1) : 0.0125728547201
		(s1,h1) : 0.0125728547201
		(s1,s3) : 0.513811988702
		(s1,s4) : 0.29916600125
		(s1,s5) : 0.648642658844
		(s1,s6) : 0.476069206273
		(s1,s7) : 0.64570073471
		(s1,s8) : 0.921578157486
		(s1,s12) : 0.542733390019
		(s1,s14) : 0.767876607444
		(s1,s16) : 0.760151906063
		(s1,s17) : 0.621072090723
		(s1,s21) : 0.642313064495
		(s1,s23) : 0.667661940306
		(s1,s26) : 0.863288646295
		(h2,s2) : 0.0125728547201
		(s2,h2) : 0.0125728547201
		(s2,s3) : 0.620437880071
		(s2,s5) : 0.207276619687
		(s2,s7) : 0.498724957652
		(s2,s9) : 0.460333707915
		(s2,s12) : 0.478320735296
		(s2,s17) : 0.284810631413
		(s2,s21) : 0.463423432066
		(s2,s25) : 0.402579092021
		(h3,s3) : 0.0125728547201
		(s3,h3) : 0.0125728547201
		(s3,s0) : 0.449435306469
		(s3,s1) : 0.513811988702
		(s3,s2) : 0.620437880071
		(s3,s4) : 0.306361762646
		(s3,s10) : 0.324162190251
		(s3,s16) : 0.362011506595
		(s3,s24) : 0.608514443103
		(s3,s29) : 0.413004858251
		(h4,s4) : 0.0125728547201
		(s4,h4) : 0.0125728547201
		(s4,s0) : 0.489376020113
		(s4,s1) : 0.29916600125
		(s4,s3) : 0.306361762646
		(s4,s5) : 0.366269554683
		(s4,s6) : 0.381481406666
		(s4,s8) : 0.390241008935
		(s4,s9) : 0.401194151128
		(s4,s12) : 0.394501703829
		(h5,s5) : 0.0125728547201
		(s5,h5) : 0.0125728547201
		(s5,s1) : 0.648642658844
		(s5,s2) : 0.207276619687
		(s5,s4) : 0.366269554683
		(s5,s9) : 0.304308503405
		(s5,s25) : 0.24980548787
		(h6,s6) : 0.0125728547201
		(s6,h6) : 0.0125728547201
		(s6,s0) : 0.615577262685
		(s6,s1) : 0.476069206273
		(s6,s4) : 0.381481406666
		(s6,s7) : 0.570373557089
		(s6,s14) : 0.37236580908
		(s6,s15) : 0.58810691224
		(s6,s18) : 0.471909511064
		(s6,s20) : 0.606016520565
		(s6,s23) : 0.46353369557
		(h7,s7) : 0.0125728547201
		(s7,h7) : 0.0125728547201
		(s7,s1) : 0.64570073471
		(s7,s2) : 0.498724957652
		(s7,s6) : 0.570373557089
		(s7,s10) : 0.502898548589
		(s7,s11) : 0.531526395133
		(s7,s13) : 0.590777779446
		(s7,s14) : 0.568152646791
		(s7,s17) : 0.382112308812
		(s7,s18) : 0.527808716416
		(s7,s25) : 0.658578104384
		(h8,s8) : 0.0125728547201
		(s8,h8) : 0.0125728547201
		(s8,s0) : 0.587368694169
		(s8,s1) : 0.921578157486
		(s8,s4) : 0.390241008935
		(s8,s15) : 0.537087754232
		(s8,s19) : 0.337125581099
		(s8,s22) : 0.570827905287
		(s8,s24) : 0.442852220354
		(s8,s27) : 0.616255687018
		(h9,s9) : 0.0125728547201
		(s9,h9) : 0.0125728547201
		(s9,s2) : 0.460333707915
		(s9,s4) : 0.401194151128
		(s9,s5) : 0.304308503405
		(s9,s11) : 0.340747072503
		(s9,s13) : 0.364282465575
		(s9,s19) : 0.57877626172
		(h10,s10) : 0.0125728547201
		(s10,h10) : 0.0125728547201
		(s10,s0) : 0.531767254418
		(s10,s3) : 0.324162190251
		(s10,s7) : 0.502898548589
		(h11,s11) : 0.0125728547201
		(s11,h11) : 0.0125728547201
		(s11,s0) : 0.63034751926
		(s11,s7) : 0.531526395133
		(s11,s9) : 0.340747072503
		(s11,s16) : 0.301314966567
		(h12,s12) : 0.0125728547201
		(s12,h12) : 0.0125728547201
		(s12,s1) : 0.542733390019
		(s12,s2) : 0.478320735296
		(s12,s4) : 0.394501703829
		(s12,s15) : 0.335766446557
		(s12,s23) : 0.175947708295
		(h13,s13) : 0.0125728547201
		(s13,h13) : 0.0125728547201
		(s13,s0) : 0.624257220175
		(s13,s7) : 0.590777779446
		(s13,s9) : 0.364282465575
		(s13,s27) : 0.351998641998
		(h14,s14) : 0.0125728547201
		(s14,h14) : 0.0125728547201
		(s14,s1) : 0.767876607444
		(s14,s6) : 0.37236580908
		(s14,s7) : 0.568152646791
		(s14,s18) : 0.28065268069
		(s14,s27) : 0.540694688207
		(s14,s28) : 0.531332937724
		(s14,s29) : 0.409804870596
		(h15,s15) : 0.0125728547201
		(s15,h15) : 0.0125728547201
		(s15,s6) : 0.58810691224
		(s15,s8) : 0.537087754232
		(s15,s12) : 0.335766446557
		(h16,s16) : 0.0125728547201
		(s16,h16) : 0.0125728547201
		(s16,s1) : 0.760151906063
		(s16,s3) : 0.362011506595
		(s16,s11) : 0.301314966567
		(h17,s17) : 0.0125728547201
		(s17,h17) : 0.0125728547201
		(s17,s1) : 0.621072090723
		(s17,s2) : 0.284810631413
		(s17,s7) : 0.382112308812
		(h18,s18) : 0.0125728547201
		(s18,h18) : 0.0125728547201
		(s18,s6) : 0.471909511064
		(s18,s7) : 0.527808716416
		(s18,s14) : 0.28065268069
		(s18,s26) : 0.357983068869
		(h19,s19) : 0.0125728547201
		(s19,h19) : 0.0125728547201
		(s19,s0) : 0.518928684504
		(s19,s8) : 0.337125581099
		(s19,s9) : 0.57877626172
		(s19,s20) : 0.314817644002
		(s19,s22) : 0.324678317292
		(s19,s24) : 0.397687795756
		(h20,s20) : 0.0125728547201
		(s20,h20) : 0.0125728547201
		(s20,s0) : 0.481959430935
		(s20,s6) : 0.606016520565
		(s20,s19) : 0.314817644002
		(h21,s21) : 0.0125728547201
		(s21,h21) : 0.0125728547201
		(s21,s0) : 0.609041638603
		(s21,s1) : 0.642313064495
		(s21,s2) : 0.463423432066
		(s21,s22) : 0.486527155249
		(h22,s22) : 0.0125728547201
		(s22,h22) : 0.0125728547201
		(s22,s8) : 0.570827905287
		(s22,s19) : 0.324678317292
		(s22,s21) : 0.486527155249
		(h23,s23) : 0.0125728547201
		(s23,h23) : 0.0125728547201
		(s23,s1) : 0.667661940306
		(s23,s6) : 0.46353369557
		(s23,s12) : 0.175947708295
		(h24,s24) : 0.0125728547201
		(s24,h24) : 0.0125728547201
		(s24,s3) : 0.608514443103
		(s24,s8) : 0.442852220354
		(s24,s19) : 0.397687795756
		(s24,s26) : 0.435244640109
		(s24,s28) : 0.306642985714
		(h25,s25) : 0.0125728547201
		(s25,h25) : 0.0125728547201
		(s25,s2) : 0.402579092021
		(s25,s5) : 0.24980548787
		(s25,s7) : 0.658578104384
		(h26,s26) : 0.0125728547201
		(s26,h26) : 0.0125728547201
		(s26,s1) : 0.863288646295
		(s26,s18) : 0.357983068869
		(s26,s24) : 0.435244640109
		(h27,s27) : 0.0125728547201
		(s27,h27) : 0.0125728547201
		(s27,s8) : 0.616255687018
		(s27,s13) : 0.351998641998
		(s27,s14) : 0.540694688207
		(h28,s28) : 0.0125728547201
		(s28,h28) : 0.0125728547201
		(s28,s0) : 0.653345370229
		(s28,s14) : 0.531332937724
		(s28,s24) : 0.306642985714
		(h29,s29) : 0.0125728547201
		(s29,h29) : 0.0125728547201
		(s29,s0) : 0.540178561166
		(s29,s3) : 0.413004858251
		(s29,s14) : 0.409804870596
mcf	0	
		(h0,s0) : 0.0125728547201
		(s0,h0) : 0.0125728547201
		(s0,s3) : 0.503176944387
		(s0,s4) : 0.503176944387
		(s0,s6) : 0.503176944387
		(s0,s8) : 0.503176944387
		(s0,s10) : 0.503176944387
		(s0,s11) : 0.503176944387
		(s0,s13) : 0.503176944387
		(s0,s19) : 0.503176944387
		(s0,s20) : 0.503176944387
		(s0,s21) : 0.503176944387
		(s0,s28) : 0.503176944387
		(s0,s29) : 0.503176944387
		(h1,s1) : 0.0125728547201
		(s1,h1) : 0.0125728547201
		(s1,s3) : 0.503176944387
		(s1,s4) : 0.503176944387
		(s1,s5) : 0.503176944387
		(s1,s6) : 0.476526476629
		(s1,s7) : 0.503176944387
		(s1,s8) : 0.503176944387
		(s1,s12) : 0.503176944387
		(s1,s14) : 0.503176944387
		(s1,s16) : 0.503176944387
		(s1,s17) : 0.503176944387
		(s1,s21) : 0.503176944387
		(s1,s23) : 0.503176944387
		(s1,s26) : 0.503176944387
		(h2,s2) : 0.0125728547201
		(s2,h2) : 0.0125728547201
		(s2,s3) : 0.503176944387
		(s2,s5) : 0.503176944387
		(s2,s7) : 0.503176944387
		(s2,s9) : 0.503176944387
		(s2,s12) : 0.503176944387
		(s2,s17) : 0.465429958911
		(s2,s21) : 0.503176944387
		(s2,s25) : 0.503176944387
		(h3,s3) : 0.0125728547201
		(s3,h3) : 0.0125728547201
		(s3,s0) : 0.503176944387
		(s3,s1) : 0.503176944387
		(s3,s2) : 0.503176944387
		(s3,s4) : 0.503176944387
		(s3,s10) : 0.503176944387
		(s3,s16) : 0.503176944387
		(s3,s24) : 0.503176944387
		(s3,s29) : 0.503176944387
		(h4,s4) : 0.0125728547201
		(s4,h4) : 0.0125728547201
		(s4,s0) : 0.503176944387
		(s4,s1) : 0.503176944387
		(s4,s3) : 0.503176944387
		(s4,s5) : 0.461136050861
		(s4,s6) : 0.503176944387
		(s4,s8) : 0.503176944387
		(s4,s9) : 0.503176944387
		(s4,s12) : 0.503176944387
		(h5,s5) : 0.0125728547201
		(s5,h5) : 0.0125728547201
		(s5,s1) : 0.503176944387
		(s5,s2) : 0.503176944387
		(s5,s4) : 0.503176944387
		(s5,s9) : 0.461136050861
		(s5,s25) : 0.447061796054
		(h6,s6) : 0.0125728547201
		(s6,h6) : 0.0125728547201
		(s6,s0) : 0.503176944387
		(s6,s1) : 0.503176944387
		(s6,s4) : 0.503176944387
		(s6,s7) : 0.476526476629
		(s6,s14) : 0.503176944387
		(s6,s15) : 0.503176944387
		(s6,s18) : 0.503176944387
		(s6,s20) : 0.503176944387
		(s6,s23) : 0.503176944387
		(h7,s7) : 0.0125728547201
		(s7,h7) : 0.0125728547201
		(s7,s1) : 0.503176944387
		(s7,s2) : 0.503176944387
		(s7,s6) : 0.503176944387
		(s7,s10) : 0.503176944387
		(s7,s11) : 0.503176944387
		(s7,s13) : 0.503176944387
		(s7,s14) : 0.503176944387
		(s7,s17) : 0.476526476629
		(s7,s18) : 0.503176944387
		(s7,s25) : 0.456874847666
		(h8,s8) : 0.0125728547201
		(s8,h8) : 0.0125728547201
		(s8,s0) : 0.503176944387
		(s8,s1) : 0.503176944387
		(s8,s4) : 0.503176944387
		(s8,s15) : 0.492666721005
		(s8,s19) : 0.503176944387
		(s8,s22) : 0.503176944387
		(s8,s24) : 0.503176944387
		(s8,s27) : 0.503176944387
		(h9,s9) : 0.0125728547201
		(s9,h9) : 0.0125728547201
		(s9,s2) : 0.503176944387
		(s9,s4) : 0.461136050861
		(s9,s5) : 0.503176944387
		(s9,s11) : 0.503176944387
		(s9,s13) : 0.503176944387
		(s9,s19) : 0.503176944387
		(h10,s10) : 0.0125728547201
		(s10,h10) : 0.0125728547201
		(s10,s0) : 0.503176944387
		(s10,s3) : 0.503176944387
		(s10,s7) : 0.503176944387
		(h11,s11) : 0.0125728547201
		(s11,h11) : 0.0125728547201
		(s11,s0) : 0.503176944387
		(s11,s7) : 0.503176944387
		(s11,s9) : 0.503176944387
		(s11,s16) : 0.503176944387
		(h12,s12) : 0.0125728547201
		(s12,h12) : 0.0125728547201
		(s12,s1) : 0.503176944387
		(s12,s2) : 0.503176944387
		(s12,s4) : 0.503176944387
		(s12,s15) : 0.503176944387
		(s12,s23) : 0.459545478197
		(h13,s13) : 0.0125728547201
		(s13,h13) : 0.0125728547201
		(s13,s0) : 0.503176944387
		(s13,s7) : 0.503176944387
		(s13,s9) : 0.503176944387
		(s13,s27) : 0.503176944387
		(h14,s14) : 0.0125728547201
		(s14,h14) : 0.0125728547201
		(s14,s1) : 0.503176944387
		(s14,s6) : 0.503176944387
		(s14,s7) : 0.503176944387
		(s14,s18) : 0.503176944387
		(s14,s27) : 0.503176944387
		(s14,s28) : 0.503176944387
		(s14,s29) : 0.459822272938
		(h15,s15) : 0.0125728547201
		(s15,h15) : 0.0125728547201
		(s15,s6) : 0.503176944387
		(s15,s8) : 0.492666721005
		(s15,s12) : 0.503176944387
		(h16,s16) : 0.0125728547201
		(s16,h16) : 0.0125728547201
		(s16,s1) : 0.503176944387
		(s16,s3) : 0.503176944387
		(s16,s11) : 0.503176944387
		(h17,s17) : 0.0125728547201
		(s17,h17) : 0.0125728547201
		(s17,s1) : 0.476526476629
		(s17,s2) : 0.465429958911
		(s17,s7) : 0.503176944387
		(h18,s18) : 0.0125728547201
		(s18,h18) : 0.0125728547201
		(s18,s6) : 0.503176944387
		(s18,s7) : 0.503176944387
		(s18,s14) : 0.503176944387
		(s18,s26) : 0.503176944387
		(h19,s19) : 0.0125728547201
		(s19,h19) : 0.0125728547201
		(s19,s0) : 0.503176944387
		(s19,s8) : 0.503176944387
		(s19,s9) : 0.503176944387
		(s19,s20) : 0.478822995536
		(s19,s22) : 0.503176944387
		(s19,s24) : 0.503176944387
		(h20,s20) : 0.0125728547201
		(s20,h20) : 0.0125728547201
		(s20,s0) : 0.503176944387
		(s20,s6) : 0.503176944387
		(s20,s19) : 0.478822995536
		(h21,s21) : 0.0125728547201
		(s21,h21) : 0.0125728547201
		(s21,s0) : 0.503176944387
		(s21,s1) : 0.503176944387
		(s21,s2) : 0.503176944387
		(s21,s22) : 0.503176944387
		(h22,s22) : 0.0125728547201
		(s22,h22) : 0.0125728547201
		(s22,s8) : 0.503176944387
		(s22,s19) : 0.503176944387
		(s22,s21) : 0.503176944387
		(h23,s23) : 0.0125728547201
		(s23,h23) : 0.0125728547201
		(s23,s1) : 0.503176944387
		(s23,s6) : 0.503176944387
		(s23,s12) : 0.459545478197
		(h24,s24) : 0.0125728547201
		(s24,h24) : 0.0125728547201
		(s24,s3) : 0.503176944387
		(s24,s8) : 0.503176944387
		(s24,s19) : 0.503176944387
		(s24,s26) : 0.503176944387
		(s24,s28) : 0.503176944387
