# solver	iter	edge-congestion
akecmp	0	
		(s5,s25) : 1.76951289177
		(h6,s6) : 0.0838190317154
		(s6,h6) : 0.0838190317154
		(s6,s0) : 6.33299350739
		(s6,s1) : 3.50798169772
		(s6,s4) : 3.29067309697
		(s6,s7) : 5.30853867531
		(s6,s14) : 2.63874729474
		(s6,s15) : 3.04232041041
		(s6,s18) : 3.25962901115
		(s6,s20) : 3.60111395518
		(s6,s23) : 3.10440858205
		(h7,s7) : 0.0931322574615
		(s7,h7) : 0.0931322574615
		(s7,s1) : 7.04700748126
		(s7,s2) : 5.09123007456
		(s7,s6) : 4.00468707085
		(s7,s10) : 2.66979138056
		(s7,s11) : 3.94259889921
		(s7,s13) : 4.06677524249
		(s7,s14) : 4.03573115667
		(s7,s17) : 2.2662182649
		(s7,s18) : 3.50798169772
		(s7,s25) : 4.25303975741
		(h8,s8) : 0.0745058059692
		(s8,h8) : 0.0745058059692
		(s8,s0) : 4.6876569589
		(s8,s1) : 7.51266876856
		(s8,s4) : 4.25303975741
		(s8,s15) : 2.94918815295
		(s8,s19) : 2.32830643654
		(s8,s22) : 4.03573115667
		(s8,s24) : 3.69424621264
		(s8,s27) : 3.75633438428
		(h9,s9) : 0.0558793544769
		(s9,h9) : 0.0558793544769
		(s9,s2) : 2.73187955221
		(s9,s4) : 3.94259889921
		(s9,s5) : 2.54561503728
		(s9,s11) : 2.73187955221
		(s9,s13) : 3.35276126862
		(s9,s19) : 4.90496555964
		(h10,s10) : 0.0279396772385
		(s10,h10) : 0.0279396772385
		(s10,s0) : 2.82501180967
		(s10,s3) : 2.82501180967
		(s10,s7) : 2.85605589549
		(h11,s11) : 0.0372529029846
		(s11,h11) : 0.0372529029846
		(s11,s0) : 4.59452470144
		(s11,s7) : 4.00468707085
		(s11,s9) : 2.2662182649
		(s11,s16) : 1.39698386192
		(h12,s12) : 0.0465661287308
		(s12,h12) : 0.0465661287308
		(s12,s1) : 4.65661287308
		(s12,s2) : 2.98023223877
		(s12,s4) : 3.60111395518
		(s12,s15) : 2.5766591231
		(s12,s23) : 1.11758708954
		(h13,s13) : 0.0372529029846
		(s13,h13) : 0.0372529029846
		(s13,s0) : 4.34617201487
		(s13,s7) : 3.7873784701
		(s13,s9) : 1.98682149251
		(s13,s27) : 3.53902578354
		(h14,s14) : 0.0651925802231
		(s14,h14) : 0.0651925802231
		(s14,s1) : 5.49480319023
		(s14,s6) : 3.07336449623
		(s14,s7) : 5.27749458949
		(s14,s18) : 1.73846880595
		(s14,s27) : 2.66979138056
		(s14,s28) : 3.38380535444
		(s14,s29) : 2.79396772385
		(h15,s15) : 0.0279396772385
		(s15,h15) : 0.0279396772385
		(s15,s6) : 3.04232041041
		(s15,s8) : 3.35276126862
		(s15,s12) : 2.17308600744
		(h16,s16) : 0.0279396772385
		(s16,h16) : 0.0279396772385
		(s16,s1) : 4.81183330218
		(s16,s3) : 2.39039460818
		(s16,s11) : 1.55220429103
		(h17,s17) : 0.0279396772385
		(s17,h17) : 0.0279396772385
		(s17,s1) : 4.06677524249
		(s17,s2) : 1.49011611938
		(s17,s7) : 2.5766591231
		(h18,s18) : 0.0372529029846
		(s18,h18) : 0.0372529029846
		(s18,s6) : 2.85605589549
		(s18,s7) : 3.22858492533
		(s18,s14) : 1.86264514923
		(s18,s26) : 2.66979138056
		(h19,s19) : 0.0558793544769
		(s19,h19) : 0.0558793544769
		(s19,s0) : 3.10440858205
		(s19,s8) : 2.63874729474
		(s19,s9) : 5.12227416039
		(s19,s20) : 2.01786557833
		(s19,s22) : 1.83160106341
		(s19,s24) : 3.7873784701
		(h20,s20) : 0.0279396772385
		(s20,h20) : 0.0279396772385
		(s20,s0) : 2.54561503728
		(s20,s6) : 4.34617201487
		(s20,s19) : 1.76951289177
		(h21,s21) : 0.0372529029846
		(s21,h21) : 0.0372529029846
		(s21,s0) : 3.72529029846
		(s21,s1) : 4.62556878726
		(s21,s2) : 3.10440858205
		(s21,s22) : 2.32830643654
		(h22,s22) : 0.0279396772385
		(s22,h22) : 0.0279396772385
		(s22,s8) : 2.94918815295
		(s22,s19) : 2.51457095146
		(s22,s21) : 2.73187955221
		(h23,s23) : 0.0279396772385
		(s23,h23) : 0.0279396772385
		(s23,s1) : 3.41484944026
		(s23,s6) : 3.07336449623
		(s23,s12) : 1.30385160446
		(h24,s24) : 0.0465661287308
		(s24,h24) : 0.0465661287308
		(s24,s3) : 4.5324365298
		(s24,s8) : 3.97364298503
		(s24,s19) : 1.98682149251
		(s24,s26) : 3.38380535444
		(s24,s28) : 2.98023223877
		(h25,s25) : 0.0279396772385
		(s25,h25) : 0.0279396772385
		(s25,s2) : 2.51457095146
		(s25,s5) : 1.73846880595
		(s25,s7) : 3.53902578354
		(h26,s26) : 0.0279396772385
		(s26,h26) : 0.0279396772385
		(s26,s1) : 6.51925802231
		(s26,s18) : 2.1109978358
		(s26,s24) : 2.66979138056
		(h27,s27) : 0.0279396772385
		(s27,h27) : 0.0279396772385
		(s27,s8) : 4.37721610069
		(s27,s13) : 1.67638063431
		(s27,s14) : 3.91155481339
		(h28,s28) : 0.0279396772385
		(s28,h28) : 0.0279396772385
		(s28,s0) : 3.84946664174
		(s28,s14) : 4.00468707085
		(s28,s24) : 2.5766591231
		(h29,s29) : 0.0279396772385
		(s29,h29) : 0.0279396772385
		(s29,s0) : 3.50798169772
		(s29,s3) : 3.07336449623
		(s29,s14) : 1.98682149251
ecmp	0	
		(h0,s0) : 0.111758708954
		(s0,h0) : 0.111758708954
		(s0,s3) : 0.931322574615
		(s0,s4) : 0.931322574615
		(s0,s6) : 0.931322574615
		(s0,s8) : 0.931322574615
		(s0,s10) : 0.931322574615
		(s0,s11) : 0.931322574615
		(s0,s13) : 0.931322574615
		(s0,s19) : 0.931322574615
		(s0,s20) : 0.931322574615
		(s0,s21) : 0.931322574615
		(s0,s28) : 0.931322574615
		(s0,s29) : 0.931322574615
		(h1,s1) : 0.1210719347
		(s1,h1) : 0.1210719347
		(s1,s3) : 0.931322574615
		(s1,s4) : 0.931322574615
		(s1,s5) : 0.931322574615
		(s1,s6) : 0.931322574615
		(s1,s7) : 0.931322574615
		(s1,s8) : 0.931322574615
		(s1,s12) : 0.931322574615
		(s1,s14) : 0.931322574615
		(s1,s16) : 0.931322574615
		(s1,s17) : 0.931322574615
		(s1,s21) : 0.931322574615
		(s1,s23) : 0.931322574615
		(s1,s26) : 0.931322574615
		(h2,s2) : 0.0745058059692
		(s2,h2) : 0.0745058059692
		(s2,s3) : 0.931322574615
		(s2,s5) : 0.931322574615
		(s2,s7) : 0.931322574615
		(s2,s9) : 0.931322574615
		(s2,s12) : 0.931322574615
		(s2,s17) : 0.931322574615
		(s2,s21) : 0.931322574615
		(s2,s25) : 0.931322574615
		(h3,s3) : 0.0745058059692
		(s3,h3) : 0.0745058059692
		(s3,s0) : 0.931322574615
		(s3,s1) : 0.931322574615
		(s3,s2) : 0.931322574615
		(s3,s4) : 0.931322574615
		(s3,s10) : 0.931322574615
		(s3,s16) : 0.931322574615
		(s3,s24) : 0.931322574615
		(s3,s29) : 0.931322574615
		(h4,s4) : 0.0745058059692
		(s4,h4) : 0.0745058059692
		(s4,s0) : 0.931322574615
		(s4,s1) : 0.931322574615
		(s4,s3) : 0.931322574615
		(s4,s5) : 0.931322574615
		(s4,s6) : 0.931322574615
		(s4,s8) : 0.931322574615
		(s4,s9) : 0.931322574615
		(s4,s12) : 0.931322574615
		(h5,s5) : 0.0465661287308
		(s5,h5) : 0.0465661287308
		(s5,s1) : 0.931322574615
		(s5,s2) : 0.931322574615
		(s5,s4) : 0.931322574615
		(s5,s9) : 0.931322574615
		(s5,s25) : 0.931322574615
		(h6,s6) : 0.0838190317154
		(s6,h6) : 0.0838190317154
		(s6,s0) : 0.931322574615
		(s6,s1) : 0.931322574615
		(s6,s4) : 0.931322574615
		(s6,s7) : 0.931322574615
		(s6,s14) : 0.931322574615
		(s6,s15) : 0.931322574615
		(s6,s18) : 0.931322574615
		(s6,s20) : 0.931322574615
		(s6,s23) : 0.931322574615
		(h7,s7) : 0.0931322574615
		(s7,h7) : 0.0931322574615
		(s7,s1) : 0.931322574615
		(s7,s2) : 0.931322574615
		(s7,s6) : 0.931322574615
		(s7,s10) : 0.931322574615
		(s7,s11) : 0.931322574615
		(s7,s13) : 0.931322574615
		(s7,s14) : 0.931322574615
		(s7,s17) : 0.931322574615
		(s7,s18) : 0.931322574615
		(s7,s25) : 0.931322574615
		(h8,s8) : 0.0745058059692
		(s8,h8) : 0.0745058059692
		(s8,s0) : 0.931322574615
		(s8,s1) : 0.931322574615
		(s8,s4) : 0.931322574615
		(s8,s15) : 0.931322574615
		(s8,s19) : 0.931322574615
		(s8,s22) : 0.931322574615
		(s8,s24) : 0.931322574615
		(s8,s27) : 0.931322574615
		(h9,s9) : 0.0558793544769
		(s9,h9) : 0.0558793544769
		(s9,s2) : 0.931322574615
		(s9,s4) : 0.931322574615
		(s9,s5) : 0.931322574615
		(s9,s11) : 0.931322574615
		(s9,s13) : 0.931322574615
		(s9,s19) : 0.931322574615
		(h10,s10) : 0.0279396772385
		(s10,h10) : 0.0279396772385
		(s10,s0) : 0.931322574615
		(s10,s3) : 0.931322574615
		(s10,s7) : 0.931322574615
		(h11,s11) : 0.0372529029846
		(s11,h11) : 0.0372529029846
		(s11,s0) : 0.931322574615
		(s11,s7) : 0.931322574615
		(s11,s9) : 0.931322574615
		(s11,s16) : 0.931322574615
		(h12,s12) : 0.0465661287308
		(s12,h12) : 0.0465661287308
		(s12,s1) : 0.931322574615
		(s12,s2) : 0.931322574615
		(s12,s4) : 0.931322574615
		(s12,s15) : 0.931322574615
		(s12,s23) : 0.931322574615
		(h13,s13) : 0.0372529029846
		(s13,h13) : 0.0372529029846
		(s13,s0) : 0.931322574615
		(s13,s7) : 0.931322574615
		(s13,s9) : 0.931322574615
		(s13,s27) : 0.931322574615
		(h14,s14) : 0.0651925802231
		(s14,h14) : 0.0651925802231
		(s14,s1) : 0.931322574615
		(s14,s6) : 0.931322574615
		(s14,s7) : 0.931322574615
		(s14,s18) : 0.931322574615
		(s14,s27) : 0.931322574615
		(s14,s28) : 0.931322574615
		(s14,s29) : 0.931322574615
		(h15,s15) : 0.0279396772385
		(s15,h15) : 0.0279396772385
		(s15,s6) : 0.931322574615
		(s15,s8) : 0.931322574615
		(s15,s12) : 0.931322574615
		(h16,s16) : 0.0279396772385
		(s16,h16) : 0.0279396772385
		(s16,s1) : 0.931322574615
		(s16,s3) : 0.931322574615
		(s16,s11) : 0.931322574615
		(h17,s17) : 0.0279396772385
		(s17,h17) : 0.0279396772385
		(s17,s1) : 0.931322574615
		(s17,s2) : 0.931322574615
		(s17,s7) : 0.931322574615
		(h18,s18) : 0.0372529029846
		(s18,h18) : 0.0372529029846
		(s18,s6) : 0.931322574615
		(s18,s7) : 0.931322574615
		(s18,s14) : 0.931322574615
		(s18,s26) : 0.931322574615
		(h19,s19) : 0.0558793544769
		(s19,h19) : 0.0558793544769
		(s19,s0) : 0.931322574615
		(s19,s8) : 0.931322574615
		(s19,s9) : 0.931322574615
		(s19,s20) : 0.931322574615
		(s19,s22) : 0.931322574615
		(s19,s24) : 0.931322574615
		(h20,s20) : 0.0279396772385
		(s20,h20) : 0.0279396772385
		(s20,s0) : 0.931322574615
		(s20,s6) : 0.931322574615
		(s20,s19) : 0.931322574615
		(h21,s21) : 0.0372529029846
		(s21,h21) : 0.0372529029846
		(s21,s0) : 0.931322574615
		(s21,s1) : 0.931322574615
		(s21,s2) : 0.931322574615
		(s21,s22) : 0.931322574615
		(h22,s22) : 0.0279396772385
		(s22,h22) : 0.0279396772385
		(s22,s8) : 0.931322574615
		(s22,s19) : 0.931322574615
		(s22,s21) : 0.931322574615
		(h23,s23) : 0.0279396772385
		(s23,h23) : 0.0279396772385
		(s23,s1) : 0.931322574615
		(s23,s6) : 0.931322574615
		(s23,s12) : 0.931322574615
		(h24,s24) : 0.0465661287308
		(s24,h24) : 0.0465661287308
		(s24,s3) : 0.931322574615
		(s24,s8) : 0.931322574615
		(s24,s19) : 0.931322574615
		(s24,s26) : 0.931322574615
		(s24,s28) : 0.931322574615
		(h25,s25) : 0.0279396772385
		(s25,h25) : 0.0279396772385
		(s25,s2) : 0.931322574615
		(s25,s5) : 0.931322574615
		(s25,s7) : 0.931322574615
		(h26,s26) : 0.0279396772385
		(s26,h26) : 0.0279396772385
		(s26,s1) : 0.931322574615
		(s26,s18) : 0.931322574615
		(s26,s24) : 0.931322574615
		(h27,s27) : 0.0279396772385
		(s27,h27) : 0.0279396772385
		(s27,s8) : 0.931322574615
		(s27,s13) : 0.931322574615
		(s27,s14) : 0.931322574615
		(h28,s28) : 0.0279396772385
		(s28,h28) : 0.0279396772385
		(s28,s0) : 0.931322574615
		(s28,s14) : 0.931322574615
		(s28,s24) : 0.931322574615
		(h29,s29) : 0.0279396772385
		(s29,h29) : 0.0279396772385
		(s29,s0) : 0.931322574615
		(s29,s3) : 0.931322574615
		(s29,s14) : 0.931322574615
ecmp	1	
		(h0,s0) : 0.111758708954
		(s0,h0) : 0.111758708954
		(s0,s3) : 0.931322574615
		(s0,s4) : 0.931322574615
		(s0,s6) : 0.931322574615
		(s0,s8) : 0.931322574615
		(s0,s10) : 0.931322574615
		(s0,s11) : 0.931322574615
		(s0,s13) : 0.931322574615
		(s0,s19) : 0.931322574615
		(s0,s20) : 0.931322574615
		(s0,s21) : 0.931322574615
		(s0,s28) : 0.931322574615
		(s0,s29) : 0.931322574615
		(h1,s1) : 0.1210719347
		(s1,h1) : 0.1210719347
		(s1,s3) : 0.931322574615
		(s1,s4) : 0.931322574615
		(s1,s5) : 0.931322574615
		(s1,s6) : 0.931322574615
		(s1,s7) : 0.931322574615
		(s1,s8) : 0.931322574615
		(s1,s12) : 0.931322574615
		(s1,s14) : 0.931322574615
		(s1,s16) : 0.931322574615
		(s1,s17) : 0.931322574615
		(s1,s21) : 0.931322574615
		(s1,s23) : 0.931322574615
		(s1,s26) : 0.931322574615
		(h2,s2) : 0.0745058059692
		(s2,h2) : 0.0745058059692
		(s2,s3) : 0.931322574615
		(s2,s5) : 0.931322574615
		(s2,s7) : 0.931322574615
		(s2,s9) : 0.931322574615
		(s2,s12) : 0.931322574615
		(s2,s17) : 0.931322574615
		(s2,s21) : 0.931322574615
		(s2,s25) : 0.931322574615
		(h3,s3) : 0.0745058059692
		(s3,h3) : 0.0745058059692
		(s3,s0) : 0.931322574615
		(s3,s1) : 0.931322574615
		(s3,s2) : 0.931322574615
		(s3,s4) : 0.931322574615
		(s3,s10) : 0.931322574615
		(s3,s16) : 0.931322574615
		(s3,s24) : 0.931322574615
		(s3,s29) : 0.931322574615
		(h4,s4) : 0.0745058059692
		(s4,h4) : 0.0745058059692
		(s4,s0) : 0.931322574615
		(s4,s1) : 0.931322574615
		(s4,s3) : 0.931322574615
		(s4,s5) : 0.931322574615
		(s4,s6) : 0.931322574615
		(s4,s8) : 0.931322574615
		(s4,s9) : 0.931322574615
		(s4,s12) : 0.931322574615
		(h5,s5) : 0.0465661287308
		(s5,h5) : 0.0465661287308
		(s5,s1) : 0.931322574615
		(s5,s2) : 0.931322574615
		(s5,s4) : 0.931322574615
		(s5,s9) : 0.931322574615
		(s5,s25) : 0.931322574615
		(h6,s6) : 0.0838190317154
		(s6,h6) : 0.0838190317154
		(s6,s0) : 0.931322574615
		(s6,s1) : 0.931322574615
		(s6,s4) : 0.931322574615
		(s6,s7) : 0.931322574615
		(s6,s14) : 0.931322574615
		(s6,s15) : 0.931322574615
		(s6,s18) : 0.931322574615
		(s6,s20) : 0.931322574615
		(s6,s23) : 0.931322574615
		(h7,s7) : 0.0931322574615
		(s7,h7) : 0.0931322574615
		(s7,s1) : 0.931322574615
		(s7,s2) : 0.931322574615
		(s7,s6) : 0.931322574615
		(s7,s10) : 0.931322574615
		(s7,s11) : 0.931322574615
		(s7,s13) : 0.931322574615
		(s7,s14) : 0.931322574615
		(s7,s17) : 0.931322574615
		(s7,s18) : 0.931322574615
		(s7,s25) : 0.931322574615
		(h8,s8) : 0.0745058059692
		(s8,h8) : 0.0745058059692
		(s8,s0) : 0.931322574615
		(s8,s1) : 0.931322574615
		(s8,s4) : 0.931322574615
		(s8,s15) : 0.931322574615
		(s8,s19) : 0.931322574615
		(s8,s22) : 0.931322574615
		(s8,s24) : 0.931322574615
		(s8,s27) : 0.931322574615
		(h9,s9) : 0.0558793544769
		(s9,h9) : 0.0558793544769
		(s9,s2) : 0.931322574615
		(s9,s4) : 0.931322574615
		(s9,s5) : 0.931322574615
		(s9,s11) : 0.931322574615
		(s9,s13) : 0.931322574615
		(s9,s19) : 0.931322574615
		(h10,s10) : 0.0279396772385
		(s10,h10) : 0.0279396772385
		(s10,s0) : 0.931322574615
		(s10,s3) : 0.931322574615
		(s10,s7) : 0.931322574615
		(h11,s11) : 0.0372529029846
		(s11,h11) : 0.0372529029846
		(s11,s0) : 0.931322574615
		(s11,s7) : 0.931322574615
		(s11,s9) : 0.931322574615
		(s11,s16) : 0.931322574615
		(h12,s12) : 0.0465661287308
		(s12,h12) : 0.0465661287308
		(s12,s1) : 0.931322574615
		(s12,s2) : 0.931322574615
		(s12,s4) : 0.931322574615
		(s12,s15) : 0.931322574615
		(s12,s23) : 0.931322574615
		(h13,s13) : 0.0372529029846
		(s13,h13) : 0.0372529029846
		(s13,s0) : 0.931322574615
		(s13,s7) : 0.931322574615
		(s13,s9) : 0.931322574615
		(s13,s27) : 0.931322574615
		(h14,s14) : 0.0651925802231
		(s14,h14) : 0.0651925802231
		(s14,s1) : 0.931322574615
		(s14,s6) : 0.931322574615
		(s14,s7) : 0.931322574615
		(s14,s18) : 0.931322574615
		(s14,s27) : 0.931322574615
		(s14,s28) : 0.931322574615
		(s14,s29) : 0.931322574615
		(h15,s15) : 0.0279396772385
		(s15,h15) : 0.0279396772385
		(s15,s6) : 0.931322574615
		(s15,s8) : 0.931322574615
		(s15,s12) : 0.931322574615
		(h16,s16) : 0.0279396772385
		(s16,h16) : 0.0279396772385
		(s16,s1) : 0.931322574615
		(s16,s3) : 0.931322574615
		(s16,s11) : 0.931322574615
		(h17,s17) : 0.0279396772385
		(s17,h17) : 0.0279396772385
		(s17,s1) : 0.931322574615
		(s17,s2) : 0.931322574615
		(s17,s7) : 0.931322574615
		(h18,s18) : 0.0372529029846
		(s18,h18) : 0.0372529029846
		(s18,s6) : 0.931322574615
		(s18,s7) : 0.931322574615
		(s18,s14) : 0.931322574615
		(s18,s26) : 0.931322574615
		(h19,s19) : 0.0558793544769
		(s19,h19) : 0.0558793544769
		(s19,s0) : 0.931322574615
		(s19,s8) : 0.931322574615
		(s19,s9) : 0.931322574615
		(s19,s20) : 0.931322574615
		(s19,s22) : 0.931322574615
		(s19,s24) : 0.931322574615
		(h20,s20) : 0.0279396772385
		(s20,h20) : 0.0279396772385
		(s20,s0) : 0.931322574615
		(s20,s6) : 0.931322574615
		(s20,s19) : 0.931322574615
		(h21,s21) : 0.0372529029846
		(s21,h21) : 0.0372529029846
		(s21,s0) : 0.931322574615
		(s21,s1) : 0.931322574615
		(s21,s2) : 0.931322574615
		(s21,s22) : 0.931322574615
		(h22,s22) : 0.0279396772385
		(s22,h22) : 0.0279396772385
		(s22,s8) : 0.931322574615
		(s22,s19) : 0.931322574615
		(s22,s21) : 0.931322574615
		(h23,s23) : 0.0279396772385
		(s23,h23) : 0.0279396772385
		(s23,s1) : 0.931322574615
		(s23,s6) : 0.931322574615
		(s23,s12) : 0.931322574615
		(h24,s24) : 0.0465661287308
		(s24,h24) : 0.0465661287308
		(s24,s3) : 0.931322574615
		(s24,s8) : 0.931322574615
		(s24,s19) : 0.931322574615
		(s24,s26) : 0.931322574615
		(s24,s28) : 0.931322574615
		(h25,s25) : 0.0279396772385
		(s25,h25) : 0.0279396772385
		(s25,s2) : 0.931322574615
		(s25,s5) : 0.931322574615
		(s25,s7) : 0.931322574615
		(h26,s26) : 0.0279396772385
		(s26,h26) : 0.0279396772385
		(s26,s1) : 0.931322574615
		(s26,s18) : 0.931322574615
		(s26,s24) : 0.931322574615
		(h27,s27) : 0.0279396772385
		(s27,h27) : 0.0279396772385
		(s27,s8) : 0.931322574615
		(s27,s13) : 0.931322574615
		(s27,s14) : 0.931322574615
		(h28,s28) : 0.0279396772385
		(s28,h28) : 0.0279396772385
		(s28,s0) : 0.931322574615
		(s28,s14) : 0.931322574615
		(s28,s24) : 0.931322574615
		(h29,s29) : 0.0279396772385
		(s29,h29) : 0.0279396772385
		(s29,s0) : 0.931322574615
		(s29,s3) : 0.931322574615
		(s29,s14) : 0.931322574615
mcf	0	
		(h0,s0) : 0.111758708954
		(s0,h0) : 0.111758708954
		(s0,s3) : 0.931322574615
		(s0,s4) : 0.931322574615
		(s0,s6) : 0.931322574615
		(s0,s8) : 0.931322574615
		(s0,s10) : 0.931322574615
		(s0,s11) : 0.931322574615
		(s0,s13) : 0.931322574615
		(s0,s19) : 0.931322574615
		(s0,s20) : 0.931322574615
		(s0,s21) : 0.931322574615
		(s0,s28) : 0.931322574615
		(s0,s29) : 0.931322574615
		(h1,s1) : 0.1210719347
		(s1,h1) : 0.1210719347
		(s1,s3) : 0.931322574615
		(s1,s4) : 0.931322574615
		(s1,s5) : 0.931322574615
		(s1,s6) : 0.931322574615
		(s1,s7) : 0.931322574615
		(s1,s8) : 0.931322574615
		(s1,s12) : 0.931322574615
		(s1,s14) : 0.931322574615
		(s1,s16) : 0.931322574615
		(s1,s17) : 0.931322574615
		(s1,s21) : 0.931322574615
		(s1,s23) : 0.931322574615
		(s1,s26) : 0.931322574615
		(h2,s2) : 0.0745058059692
		(s2,h2) : 0.0745058059692
		(s2,s3) : 0.931322574615
		(s2,s5) : 0.931322574615
		(s2,s7) : 0.931322574615
		(s2,s9) : 0.931322574615
		(s2,s12) : 0.931322574615
		(s2,s17) : 0.931322574615
		(s2,s21) : 0.931322574615
		(s2,s25) : 0.931322574615
		(h3,s3) : 0.0745058059692
		(s3,h3) : 0.0745058059692
		(s3,s0) : 0.931322574615
		(s3,s1) : 0.931322574615
		(s3,s2) : 0.931322574615
		(s3,s4) : 0.931322574615
		(s3,s10) : 0.931322574615
		(s3,s16) : 0.931322574615
		(s3,s24) : 0.931322574615
		(s3,s29) : 0.931322574615
		(h4,s4) : 0.0745058059692
		(s4,h4) : 0.0745058059692
		(s4,s0) : 0.931322574615
		(s4,s1) : 0.931322574615
		(s4,s3) : 0.931322574615
		(s4,s5) : 0.931322574615
		(s4,s6) : 0.931322574615
		(s4,s8) : 0.931322574615
		(s4,s9) : 0.931322574615
		(s4,s12) : 0.931322574615
		(h5,s5) : 0.0465661287308
		(s5,h5) : 0.0465661287308
		(s5,s1) : 0.931322574615
		(s5,s2) : 0.931322574615
		(s5,s4) : 0.931322574615
		(s5,s9) : 0.931322574615
		(s5,s25) : 0.931322574615
		(h6,s6) : 0.0838190317154
		(s6,h6) : 0.0838190317154
		(s6,s0) : 0.931322574615
		(s6,s1) : 0.931322574615
		(s6,s4) : 0.931322574615
		(s6,s7) : 0.931322574615
		(s6,s14) : 0.931322574615
		(s6,s15) : 0.931322574615
		(s6,s18) : 0.931322574615
		(s6,s20) : 0.931322574615
		(s6,s23) : 0.931322574615
		(h7,s7) : 0.0931322574615
		(s7,h7) : 0.0931322574615
		(s7,s1) : 0.931322574615
		(s7,s2) : 0.931322574615
		(s7,s6) : 0.931322574615
		(s7,s10) : 0.931322574615
		(s7,s11) : 0.931322574615
		(s7,s13) : 0.931322574615
		(s7,s14) : 0.931322574615
		(s7,s17) : 0.931322574615
		(s7,s18) : 0.931322574615
		(s7,s25) : 0.931322574615
		(h8,s8) : 0.0745058059692
		(s8,h8) : 0.0745058059692
		(s8,s0) : 0.931322574615
		(s8,s1) : 0.931322574615
		(s8,s4) : 0.931322574615
		(s8,s15) : 0.931322574615
		(s8,s19) : 0.931322574615
		(s8,s22) : 0.931322574615
		(s8,s24) : 0.931322574615
		(s8,s27) : 0.931322574615
		(h9,s9) : 0.0558793544769
		(s9,h9) : 0.0558793544769
		(s9,s2) : 0.931322574615
		(s9,s4) : 0.931322574615
		(s9,s5) : 0.931322574615
		(s9,s11) : 0.931322574615
		(s9,s13) : 0.931322574615
		(s9,s19) : 0.931322574615
		(h10,s10) : 0.0279396772385
		(s10,h10) : 0.0279396772385
		(s10,s0) : 0.931322574615
		(s10,s3) : 0.931322574615
		(s10,s7) : 0.931322574615
		(h11,s11) : 0.0372529029846
		(s11,h11) : 0.0372529029846
		(s11,s0) : 0.931322574615
		(s11,s7) : 0.931322574615
		(s11,s9) : 0.931322574615
		(s11,s16) : 0.931322574615
		(h12,s12) : 0.0465661287308
		(s12,h12) : 0.0465661287308
		(s12,s1) : 0.931322574615
		(s12,s2) : 0.931322574615
		(s12,s4) : 0.931322574615
		(s12,s15) : 0.931322574615
		(s12,s23) : 0.931322574615
		(h13,s13) : 0.0372529029846
		(s13,h13) : 0.0372529029846
		(s13,s0) : 0.931322574615
		(s13,s7) : 0.931322574615
		(s13,s9) : 0.931322574615
		(s13,s27) : 0.931322574615
		(h14,s14) : 0.0651925802231
		(s14,h14) : 0.0651925802231
		(s14,s1) : 0.931322574615
		(s14,s6) : 0.931322574615
		(s14,s7) : 0.931322574615
		(s14,s18) : 0.931322574615
		(s14,s27) : 0.931322574615
		(s14,s28) : 0.931322574615
		(s14,s29) : 0.931322574615
		(h15,s15) : 0.0279396772385
		(s15,h15) : 0.0279396772385
		(s15,s6) : 0.931322574615
		(s15,s8) : 0.931322574615
		(s15,s12) : 0.931322574615
		(h16,s16) : 0.0279396772385
		(s16,h16) : 0.0279396772385
		(s16,s1) : 0.931322574615
		(s16,s3) : 0.931322574615
		(s16,s11) : 0.931322574615
		(h17,s17) : 0.0279396772385
		(s17,h17) : 0.0279396772385
		(s17,s1) : 0.931322574615
		(s17,s2) : 0.931322574615
		(s17,s7) : 0.931322574615
		(h18,s18) : 0.0372529029846
		(s18,h18) : 0.0372529029846
		(s18,s6) : 0.931322574615
		(s18,s7) : 0.931322574615
		(s18,s14) : 0.931322574615
		(s18,s26) : 0.931322574615
		(h19,s19) : 0.0558793544769
		(s19,h19) : 0.0558793544769
		(s19,s0) : 0.931322574615
		(s19,s8) : 0.931322574615
		(s19,s9) : 0.931322574615
		(s19,s20) : 0.931322574615
		(s19,s22) : 0.931322574615
		(s19,s24) : 0.931322574615
		(h20,s20) : 0.0279396772385
		(s20,h20) : 0.0279396772385
		(s20,s0) : 0.931322574615
		(s20,s6) : 0.931322574615
		(s20,s19) : 0.931322574615
		(h21,s21) : 0.0372529029846
		(s21,h21) : 0.0372529029846
		(s21,s0) : 0.931322574615
		(s21,s1) : 0.931322574615
		(s21,s2) : 0.931322574615
		(s21,s22) : 0.931322574615
		(h22,s22) : 0.0279396772385
		(s22,h22) : 0.0279396772385
		(s22,s8) : 0.931322574615
		(s22,s19) : 0.931322574615
		(s22,s21) : 0.931322574615
		(h23,s23) : 0.0279396772385
		(s23,h23) : 0.0279396772385
		(s23,s1) : 0.931322574615
		(s23,s6) : 0.931322574615
		(s23,s12) : 0.931322574615
		(h24,s24) : 0.0465661287308
		(s24,h24) : 0.0465661287308
		(s24,s3) : 0.931322574615
		(s24,s8) : 0.931322574615
		(s24,s19) : 0.931322574615
		(s24,s26) : 0.931322574615
		(s24,s28) : 0.931322574615
		(h25,s25) : 0.0279396772385
		(s25,h25) : 0.0279396772385
		(s25,s2) : 0.931322574615
		(s25,s5) : 0.931322574615
		(s25,s7) : 0.931322574615
		(h26,s26) : 0.0279396772385
		(s26,h26) : 0.0279396772385
		(s26,s1) : 0.931322574615
		(s26,s18) : 0.931322574615
		(s26,s24) : 0.931322574615
